sigm0,time_exposure,phase_var
0.1,2,0.04383705158425378
0.2,2,0.021924502620211745
0.30000000000000004,2,0.015011836187412517
0.4,2,0.01199927189398543
0.5,2,0.010045413286140946
0.6,2,0.008883879539539005
0.7000000000000001,2,0.00828575887830632
0.8,2,0.007893000077869161
0.9,2,0.007454117730678422
1.0,2,0.007407739761575482
1.1,2,0.007286759251696485
1.2000000000000002,2,0.007144541624604711
1.3000000000000003,2,0.007349074188389143
1.4000000000000001,2,0.007509620489668826
1.5000000000000002,2,0.007577358488671744
1.6,2,0.007830966294675761
1.7000000000000002,2,0.00794453314343863
1.8000000000000003,2,0.008162611277190496
1.9000000000000001,2,0.008375945890660194
2.0,2,0.008454787353164624
2.1,2,0.008702810700803337
2.2,2,0.009019671275974986
2.3000000000000003,2,0.009240758882341547
2.4000000000000004,2,0.009534034246411006
2.5000000000000004,2,0.0097751912099123
2.6,2,0.009967647304116586
2.7,2,0.010235332578307759
2.8000000000000003,2,0.010548199237203178
2.9000000000000004,2,0.010888108466506893
3.0000000000000004,2,0.011141685802163515
0.1,5,0.0473289509351516
0.2,5,0.022534162173114835
0.30000000000000004,5,0.01542221184297552
0.4,5,0.012059386566563822
0.5,5,0.010438840529531816
0.6,5,0.009164671169128055
0.7000000000000001,5,0.008550278188426437
0.8,5,0.008238356736120295
0.9,5,0.007890567181259961
1.0,5,0.007705422748409113
1.1,5,0.007769610174363909
1.2000000000000002,5,0.007869948704971338
1.3000000000000003,5,0.007821566800145306
1.4000000000000001,5,0.007990664633209838
1.5000000000000002,5,0.00822429569424711
1.6,5,0.008493192257193981
1.7000000000000002,5,0.008679724490111486
1.8000000000000003,5,0.008884139170870041
1.9000000000000001,5,0.009204624430032697
2.0,5,0.00943736078094423
2.1,5,0.009879489438250108
2.2,5,0.010116632212891543
2.3000000000000003,5,0.010275337853658304
2.4000000000000004,5,0.010712550460456832
2.5000000000000004,5,0.010997816782722604
2.6,5,0.011310843583347418
2.7,5,0.01174234059877233
2.8000000000000003,5,0.01206021903061283
2.9000000000000004,5,0.012328970643496322
3.0000000000000004,5,0.012584610275956332
0.1,10,0.05137705410653437
0.2,10,0.024545118251568097
0.30000000000000004,10,0.016093498046924108
0.4,10,0.012737875740535136
0.5,10,0.010794031624651135
0.6,10,0.00982915262887135
0.7000000000000001,10,0.009208319386419916
0.8,10,0.0088532157772923
0.9,10,0.008843484047863528
1.0,10,0.008764956756816213
1.1,10,0.008530385841415819
1.2000000000000002,10,0.00861804822873962
1.3000000000000003,10,0.008834683955318981
1.4000000000000001,10,0.00892443000403013
1.5000000000000002,10,0.009054539188963932
1.6,10,0.009432908763726898
1.7000000000000002,10,0.009597378162605094
1.8000000000000003,10,0.009824644811107387
1.9000000000000001,10,0.009913961771724308
2.0,10,0.010230281689646362
2.1,10,0.010443641339037343
2.2,10,0.010824782169642893
2.3000000000000003,10,0.010944310520417196
2.4000000000000004,10,0.011260035507294625
2.5000000000000004,10,0.011523550041351008
2.6,10,0.011726718209572424
2.7,10,0.011876647100704582
2.8000000000000003,10,0.012375205910448966
2.9000000000000004,10,0.01265152321974973
3.0000000000000004,10,0.01277684510276669
0.1,20,0.06120813219235132
0.2,20,0.026656168363740584
0.30000000000000004,20,0.017792071894946634
0.4,20,0.01377885749856327
0.5,20,0.011871012365029066
0.6,20,0.010757969199307134
0.7000000000000001,20,0.0099041938409432
0.8,20,0.009487491995895912
0.9,20,0.009244554374719384
1.0,20,0.009164601561823287
1.1,20,0.009158088816909535
1.2000000000000002,20,0.00912291221050561
1.3000000000000003,20,0.009090712822944715
1.4000000000000001,20,0.009342430082603
1.5000000000000002,20,0.009372109564670238
1.6,20,0.009675400283687326
1.7000000000000002,20,0.00966597866778157
1.8000000000000003,20,0.009986910059168111
1.9000000000000001,20,0.010278498369939078
2.0,20,0.01027879860848429
2.1,20,0.010408512621605165
2.2,20,0.01078204254772256
2.3000000000000003,20,0.010937678435864281
