sigma0,sigma1,phase_var
0.1,0.1,0.019081270523140265
0.1,0.2,0.012217729305476136
0.1,0.30000000000000004,0.009283009396348334
0.1,0.4,0.00787614853954813
0.1,0.5,0.006823728375273381
0.1,0.6,0.00626199116864093
0.1,0.7000000000000001,0.0058757567330214545
0.1,0.8,0.005835548258180943
0.1,0.9,0.005579724337029696
0.1,1.0,0.005711310143743095
0.1,1.1,0.0057508105746699985
0.1,1.2000000000000002,0.005826854697764738
0.1,1.3000000000000003,0.005972876030562998
0.1,1.4000000000000001,0.006044021804706169
0.1,1.5000000000000002,0.006297018894656286
0.1,1.6,0.0064633654254089516
0.1,1.7000000000000002,0.0066515018664597796
0.1,1.8000000000000003,0.006991954578565513
0.1,1.9000000000000001,0.007106298238640715
0.1,2.0,0.0074011104167786244
0.1,2.1,0.007562090745305487
0.1,2.2,0.007902706248616335
0.1,2.3000000000000003,0.008042803646733338
0.1,2.4000000000000004,0.008327202198198031
0.1,2.5000000000000004,0.00873328316469761
0.1,2.6,0.008916766679298374
0.1,2.7,0.009234707374556972
0.1,2.8000000000000003,0.009514454088285895
0.1,2.9000000000000004,0.00985396510809837
0.1,3.0000000000000004,0.010020924657831436
0.2,0.1,0.013220331458169686
0.2,0.2,0.009584303511547177
0.2,0.30000000000000004,0.007800904201163461
0.2,0.4,0.006708674996186955
0.2,0.5,0.006083705686213182
0.2,0.6,0.005743057865837481
0.2,0.7000000000000001,0.005484645905726124
0.2,0.8,0.005383254538336265
0.2,0.9,0.005336765205696852
0.2,1.0,0.005327953606507004
0.2,1.1,0.00538621947118716
0.2,1.2000000000000002,0.005575967713862807
0.2,1.3000000000000003,0.005691673169174488
0.2,1.4000000000000001,0.0058297110586716435
0.2,1.5000000000000002,0.005932505665039446
0.2,1.6,0.006210210116997295
0.2,1.7000000000000002,0.006478682384259053
0.2,1.8000000000000003,0.006691140251396179
0.2,1.9000000000000001,0.006855819905647348
0.2,2.0,0.007165317372230806
0.2,2.1,0.007466833249113327
0.2,2.2,0.00763159140630302
0.2,2.3000000000000003,0.007977176443808067
0.2,2.4000000000000004,0.008274681184450667
0.2,2.5000000000000004,0.008453775057759082
0.2,2.6,0.008837978524516812
0.2,2.7,0.008984377989420358
0.2,2.8000000000000003,0.009337270093840685
0.2,2.9000000000000004,0.009638677263026802
0.2,3.0000000000000004,0.010010535263244422
0.30000000000000004,0.1,0.010551141506519564
0.30000000000000004,0.2,0.00820440742424202
0.30000000000000004,0.30000000000000004,0.006885257270770393
0.30000000000000004,0.4,0.006226753586677311
0.30000000000000004,0.5,0.0056709555225608966
0.30000000000000004,0.6,0.005467095904431568
0.30000000000000004,0.7000000000000001,0.005226268156902585
0.30000000000000004,0.8,0.005095019769577727
0.30000000000000004,0.9,0.005118462603675469
0.30000000000000004,1.0,0.005081089190577403
0.30000000000000004,1.1,0.005257010890120965
0.30000000000000004,1.2000000000000002,0.005339063384394514
0.30000000000000004,1.3000000000000003,0.005547026719100851
0.30000000000000004,1.4000000000000001,0.005711980182720263
0.30000000000000004,1.5000000000000002,0.005880788724637698
0.30000000000000004,1.6,0.0059978651404587364
0.30000000000000004,1.7000000000000002,0.006259172936038162
0.30000000000000004,1.8000000000000003,0.006597042676033269
0.30000000000000004,1.9000000000000001,0.006738717717592479
0.30000000000000004,2.0,0.007053818361498553
0.30000000000000004,2.1,0.007276523210885245
0.30000000000000004,2.2,0.007458556349606121
0.30000000000000004,2.3000000000000003,0.007864479224081199
0.30000000000000004,2.4000000000000004,0.008002683717150955
0.30000000000000004,2.5000000000000004,0.008318194434832723
0.30000000000000004,2.6,0.008554934940012528
0.30000000000000004,2.7,0.008806545360199893
0.30000000000000004,2.8000000000000003,0.009131789787288472
0.30000000000000004,2.9000000000000004,0.00944615733050008
0.30000000000000004,3.0000000000000004,0.009814143044800267
0.4,0.1,0.008662244393946998
0.4,0.2,0.007308554699451086
0.4,0.30000000000000004,0.00630579097614684
0.4,0.4,0.005603531858629699
0.4,0.5,0.005226120486968241
0.4,0.6,0.005022659526772756
0.4,0.7000000000000001,0.004926367057897735
0.4,0.8,0.004927595304977063
0.4,0.9,0.004924981090781867
0.4,1.0,0.005037769239035511
0.4,1.1,0.005190812869621601
0.4,1.2000000000000002,0.005201496878163761
0.4,1.3000000000000003,0.005436751153411195
0.4,1.4000000000000001,0.005567065817742019
0.4,1.5000000000000002,0.005713483756847311
0.4,1.6,0.005958985601508394
0.4,1.7000000000000002,0.006179439244599378
0.4,1.8000000000000003,0.00636521784781833
0.4,1.9000000000000001,0.006642669565613615
0.4,2.0,0.006848626339879737
0.4,2.1,0.0071371674641540215
0.4,2.2,0.007396415317157333
0.4,2.3000000000000003,0.007595911055186436
0.4,2.4000000000000004,0.007804924214978803
0.4,2.5000000000000004,0.008190480963510416
0.4,2.6,0.008390320719411785
0.4,2.7,0.008724802417639694
0.4,2.8000000000000003,0.009085142632694936
0.4,2.9000000000000004,0.009345997550460674
0.4,3.0000000000000004,0.009560685380191501
0.5,0.1,0.007965654941530837
0.5,0.2,0.006621122391335465
0.5,0.30000000000000004,0.005918044930802316
0.5,0.4,0.00539065215897342
0.5,0.5,0.005097368469826825
0.5,0.6,0.004862708784809233
0.5,0.7000000000000001,0.004862296706334025
0.5,0.8,0.004886602631049876
0.5,0.9,0.004837406495162114
0.5,1.0,0.0048261587246353
0.5,1.1,0.004982050515766128
0.5,1.2000000000000002,0.005152242472774222
0.5,1.3000000000000003,0.005276273673344868
0.5,1.4000000000000001,0.005421770314654151
0.5,1.5000000000000002,0.0056369239430570555
0.5,1.6,0.005802205043629613
0.5,1.7000000000000002,0.00604103304865796
0.5,1.8000000000000003,0.0062367628054025735
