sigma0,sigma1,time_iter1,phase_var
0.1,0.1,2,0.019081270523140265
0.1,0.2,2,0.012217729305476136
0.1,0.30000000000000004,2,0.009283009396348334
0.1,0.4,2,0.00787614853954813
0.1,0.5,2,0.006823728375273381
0.1,0.6,2,0.00626199116864093
0.1,0.7000000000000001,2,0.0058757567330214545
0.1,0.8,2,0.005835548258180943
0.1,0.9,2,0.005579724337029696
0.1,1.0,2,0.005711310143743095
0.1,1.1,2,0.0057508105746699985
0.1,1.2000000000000002,2,0.005826854697764738
0.1,1.3000000000000003,2,0.005972876030562998
0.1,1.4000000000000001,2,0.006044021804706169
0.1,1.5000000000000002,2,0.006297018894656286
0.1,1.6,2,0.0064633654254089516
0.1,1.7000000000000002,2,0.0066515018664597796
0.1,1.8000000000000003,2,0.006991954578565513
0.1,1.9000000000000001,2,0.007106298238640715
0.1,2.0,2,0.0074011104167786244
0.2,0.1,2,0.013220331458169686
0.2,0.2,2,0.009584303511547177
0.2,0.30000000000000004,2,0.007800904201163461
0.2,0.4,2,0.006708674996186955
0.2,0.5,2,0.006083705686213182
0.2,0.6,2,0.005743057865837481
0.2,0.7000000000000001,2,0.005484645905726124
0.2,0.8,2,0.005383254538336265
0.2,0.9,2,0.005336765205696852
0.2,1.0,2,0.005327953606507004
0.2,1.1,2,0.00538621947118716
0.2,1.2000000000000002,2,0.005575967713862807
0.2,1.3000000000000003,2,0.005691673169174488
0.2,1.4000000000000001,2,0.0058297110586716435
0.2,1.5000000000000002,2,0.005932505665039446
0.2,1.6,2,0.006210210116997295
0.2,1.7000000000000002,2,0.006478682384259053
0.2,1.8000000000000003,2,0.006691140251396179
0.2,1.9000000000000001,2,0.006855819905647348
0.2,2.0,2,0.007165317372230806
0.30000000000000004,0.1,2,0.010551141506519564
0.30000000000000004,0.2,2,0.00820440742424202
0.30000000000000004,0.30000000000000004,2,0.006885257270770393
0.30000000000000004,0.4,2,0.006226753586677311
0.30000000000000004,0.5,2,0.0056709555225608966
0.30000000000000004,0.6,2,0.005467095904431568
0.30000000000000004,0.7000000000000001,2,0.005226268156902585
