turn,state,start(ps),end(ps),pmt1,pmt2,g,phase
0.5,origin,314000,375000,797,796,0.06%,360
0.4,origin,314000,375000,1532,66,91.74%,288
0.3,origin,314000,375000,1249,363,54.96%,216
0.125,origin,314000,375000,14,1601,-98.27%,90
0.2,origin,314000,375000,359,1338,-57.69%,144
0.1,origin,314000,375000,47,1549,-94.11%,72
0.375,origin,314000,375000,1583,15,98.12%,270
