turn,state,start(ps),end(ps),pmt1,pmt2,g,phase
0.5,origin,250000,330000,682,872,-12.23%,360
0.4,origin,250000,330000,1518,98,87.87%,288
0.3,origin,250000,330000,1243,337,57.34%,216
0.125,origin,250000,330000,21,1699,-97.56%,90
0.2,origin,250000,330000,386,1263,-53.18%,144
0.1,origin,250000,330000,43,1549,-94.60%,72
0.375,origin,250000,330000,1614,19,97.67%,270
